area_type,location,size,total_sqft,bath,balcony,age,price
Super built-up  Area,Whitefield,2,1015,2,1,5.034395311,45
Super built-up  Area,Uttarahalli,2,1107,2,1,5.034661238,45
Super built-up  Area,Raja Rajeshwari Nagar,2,945,2,1,5.034661238,45
Super built-up  Area,Subramanyapura,2,1000,2,1,5.034661238,45
Built-up  Area,Chennappa Layout,2,1050,2,2,5.03565946,45
Super built-up  Area,Sarjapur  Road,2,994,2,2,5.03565946,45
Super built-up  Area,Hebbal,2,1072,2,2,5.03565946,45
Built-up  Area,Doddathoguru,3,1208,3,1,5.035977362,45
Super built-up  Area,Panathur,2,1125,2,2,5.035977362,45
Super built-up  Area,KR Puram,2,1100,2,2,5.035977362,45
Built-up  Area,9th Phase JP Nagar,2,890,2,2,5.037051828,45
Plot  Area,Parappana Agrahara,1,1200,1,0,5.037051828,45
Super built-up  Area,Hoodi,2,1225,2,1,5.037051828,45
Super built-up  Area,Hulimavu,2,935,2,3,5.037141656,45
Super built-up  Area,KR Puram,2,1116,2,1,5.037141656,45
Built-up  Area,Kasavanhalli,2,1189,2,1,5.037141656,45
Super built-up  Area,Yelahanka,2,1185,2,2,5.037562816,45
Built-up  Area,Anathanagar,2,1050,2,2,5.037562816,45
Super built-up  Area,Horamavu Banaswadi,2,1200,2,1,5.037562816,45
Super built-up  Area,Thanisandra,2,1185,2,2,5.038331737,45
Super built-up  Area,Kaggalipura,2,950,2,1,5.038331737,45
Super built-up  Area,Sarjapur  Road,3,1180,2,2,5.038331737,45
Plot  Area,Bannerghatta,4,940,4,2,5.039400288,45
Built-up  Area,Singapura Village,2,985,2,1,5.039400288,45
Super built-up  Area,Singasandra,2,1139.7,2,1,5.039400288,45
Super built-up  Area,Neelamangala,2,1000,2,1,5.03948742,45
Super built-up  Area,Kambipura,2,883,2,1,5.03948742,45
Built-up  Area,Hongasandra,2,1065,2,2,5.03948742,45
Super built-up  Area,Yelahanka New Town,3,1800,2,1,5.039489621,45
Built-up  Area,Chelekare,2,1000,2,1,5.039489621,45
Super built-up  Area,Chamrajpet,2,650,2,2,5.039489621,45
Built-up  Area,Akshaya Nagar,2,1200,2,2,5.040554523,45
Super built-up  Area,1st Block Koramangala,2,1000,2,2,5.040554523,45
Super built-up  Area,Manayata Tech Park,2,1050,2,2,5.040554523,45
Super built-up  Area,Horamavu Banaswadi,2,1025,2,2,5.040896433,45
Built-up  Area,Uttarahalli,2,1125,1,2,5.040896433,45
Plot  Area,Kadugondanahalli,2,800,1,0,5.040896433,45
Super built-up  Area,R.T. Nagar,2,1500,2,2,5.041209203,45
Built-up  Area,Bellandur,2,850,2,1,5.041209203,45
Built-up  Area,Bannerghatta Road,2,1270,2,2,5.041209203,45
Super built-up  Area,Harlur,2,936,2,1,5.042875887,45
Super built-up  Area,Sompura,3,1360,2,3,5.042875887,45
Super built-up  Area,8th Phase JP Nagar,3,1275,3,2,5.042875887,45
Plot  Area,MM Layout,4,350,3,1,5.043992564,45
Built-up  Area,Green View Layout,2,850,2,2,5.043992564,45
Built-up  Area,Whitefield,3,1010,2,1,5.043992564,45
Super built-up  Area,Electronics City Phase 1,1,640,1,1,5.044290162,45
Super built-up  Area,Mysore Road,3,1082,2,1,5.044290162,45
Super built-up  Area,Yelahanka,2,1045,2,1,5.044290162,45
Super built-up  Area,Kengeri Satellite Town KHB Apartment,3,1100,2,2,5.044783195,45
Super built-up  Area,Sarjapur,2,1095,2,1,5.044783195,45
Super built-up  Area,Kuvempu Nagar,2,1375,2,1,5.044783195,45
Super built-up  Area,Madiwala,2,1165,2,2,5.045013623,45
Built-up  Area,Malleshwaram,1,580,1,1,5.045013623,45
Super built-up  Area,Chikkadunnasandra,2,1200,2,2,5.045013623,45
Built-up  Area,Singapura Village,2,970,2,0,5.045932442,45
Built-up  Area,Dodda Nekkundi,2,1005,2,2,5.045932442,45
Built-up  Area,Akshaya Nagar,2,900,2,1,5.045932442,45
Super built-up  Area,Nobo Nagar,2,1200,2,2,5.046605747,45
Built-up  Area,Kaggadasapura,2,1150,2,2,5.046605747,45
Super built-up  Area,Bannerghatta Road,2,1160,2,2,5.046605747,45
Super built-up  Area,Old Madras Road,2,1211,2,3,5.04681834,45
Plot  Area,Kothannur,4,1600,4,2,5.04681834,45
Super built-up  Area,Electronic City,3,1225,3,0,5.04681834,45.03
Super built-up  Area,Kenchanehalli R R Nagar,3,1410,2,2,5.046905795,45.12
Super built-up  Area,Rajarajeshwari nagar,3,1410,2,2,5.046905795,45.12
Super built-up  Area,Rajarajeshwari Nagara,3,1410,2,2,5.046905795,45.12
Super built-up  Area,Raja Rajashweri Nagar,3,1410,2,2,5.048811273,45.12
Super built-up  Area,Kanakapura,3,1290,2,3,5.048811273,45.15
Super built-up  Area,Kanakapura,3,1290,3,3,5.048811273,45.15
Super built-up  Area,Subramanyapura,3,1130,2,3,5.049142026,45.19
Super built-up  Area,Kanakapura,2,1130,2,1,5.049142026,45.2
Super built-up  Area,Kanakapura,2,1130,2,1,5.049142026,45.2
Super built-up  Area,Doddabanahalli,3,1290,3,2,5.051254333,45.33
Super built-up  Area,Varthur,2,1055,2,2,5.051254333,45.35
Super built-up  Area,Uttarahalli,2,1134,2,1,5.051254333,45.36
Super built-up  Area,Electronics City Phase 1,1,755 - 770,1,0,5.051671218,45.4
Super built-up  Area,Mysore Road,2,980,2,1,5.051671218,45.47
Super built-up  Area,Chikkalasandra,2,1070,2,1,5.051671218,45.48
Super built-up  Area,Electronics City Phase 1,2,1070,2,1,5.052311501,45.5
Super built-up  Area,Gattahalli,2,1028,2,1,5.052311501,45.5
Super built-up  Area,Ramamurthy Nagar,2,1185,2,1,5.052311501,45.5
Super built-up  Area,Ramagondanahalli,2,1215,2,1,5.052580013,45.5
Super built-up  Area,Kaggadasapura,2,1035,2,2,5.052580013,45.5
Super built-up  Area,Kothanur,2,1070,2,1,5.052580013,45.5
Super built-up  Area,Kambipura,3,1082,2,1,5.053486344,45.5
Super built-up  Area,Pampa Extension,2,993,2,3,5.053486344,45.5
Super built-up  Area,Sarjapur  Road,2,1025,2,2,5.053486344,45.5
Super built-up  Area,Thanisandra,2,1260,2,1,5.053542724,45.5
Super built-up  Area,Gollahalli,2,1170,2,1,5.053542724,45.51
Super built-up  Area,NRI Layout,2,1125,2,2,5.053542724,45.56
Super built-up  Area,Begur Road,2,1200,2,2,5.055819675,45.6
Super built-up  Area,Yelenahalli,2,1200,2,2,5.055819675,45.6
Super built-up  Area,Marathahalli,2,950,2,1,5.055819675,45.68
Super built-up  Area,Kanakapura  Rod,3,1305,2,1,5.056598058,45.68
Built-up  Area,Thanisandra,1,923,1,1,5.056598058,45.69
Super built-up  Area,Sarjapur  Road,3,1173,2,2,5.056598058,45.75
Super built-up  Area,Hormavu,2,1020,2,2,5.056788806,45.75
Super built-up  Area,Sarjapur  Road,2,984,2,1,5.056788806,45.75
Super built-up  Area,Raja Rajeshwari Nagar,2,1145,2,2,5.056788806,45.79
Super built-up  Area,KR Puram,2,1205,2,1,5.057510963,45.79
Super built-up  Area,Thanisandra,2,1075,2,2,5.057510963,45.8
Plot  Area,Ramagondanahalli,2,845,2,1,5.057510963,45.82
Plot  Area,Whitefield,2,1200,2,1,5.057578392,45.84
Super built-up  Area,Whitefield,2,1200,2,1,5.057578392,45.84
Plot  Area,Whitefield,2,1200,2,1,5.057578392,45.84
Built-up  Area,Bannerghatta Road,3,1465,2,1,5.060031492,45.87
Super built-up  Area,Begur Road,2,1240,2,2,5.060031492,45.88
Super built-up  Area,Electronic City,3,1530,2,1,5.060031492,45.9
Super built-up  Area,NGR Layout,2,1020,2,1,5.06030279,45.9
Super built-up  Area,NGR Layout,2,1022,2,1,5.06030279,45.9
Super built-up  Area,Babusapalaya,2,1141,2,1,5.06030279,45.9
Built-up  Area,"Ananthanagar Phase 1,Electronic City , phase 2",2,1016,2,1,5.060567635,45.9
Super built-up  Area,NGR Layout,2,1019,2,1,5.060567635,45.9
Super built-up  Area,Old Madras Road,3,1350,3,1,5.060567635,45.9
Super built-up  Area,P&T Layout,2,935,2,1,5.060596059,45.9
Super built-up  Area,NGR Layout,2,1021,2,2,5.060596059,45.9
Super built-up  Area,Sarjapur  Road,2,984,2,1,5.060596059,45.91
Super built-up  Area,Sarjapur  Road,2,984,2,1,5.060886422,45.91
Super built-up  Area,Sarjapur  Road,2,984,2,1,5.060886422,45.91
Super built-up  Area,Sarjapur  Road,2,984,2,1,5.060886422,45.91
Super built-up  Area,Sarjapura - Attibele Road,3,1329,2,2,5.061805489,45.95
Super built-up  Area,Yelahanka,2,1210,2,1,5.061805489,45.98
Super built-up  Area,Uttarahalli,2,1150,2,1,5.061805489,45.99
Built-up  Area,Electronic City,2,1025,2,1,5.062524905,46
Super built-up  Area,KUDLU MAIN ROAD,3,1464,3,2,5.062524905,46
Super built-up  Area,Bisuvanahalli,3,1075,2,1,5.062524905,46
Super built-up  Area,Hormavu,1,715,1,2,5.062571564,46
Super built-up  Area,Bommasandra,3,1200,3,2,5.062571564,46
Super built-up  Area,7th Phase JP Nagar,2,1100,2,0,5.062571564,46
Super built-up  Area,Haralur Road,2,1194,2,2,5.064611431,46
Super built-up  Area,HSR Layout,2,1140,2,2,5.064611431,46
Super built-up  Area,Kanakapura,2,929,2,1,5.064611431,46
Super built-up  Area,Haralur Road,2,1243,2,1,5.064855375,46
Super built-up  Area,Kanakpura Road,2,900,2,1,5.064855375,46
Super built-up  Area,Horamavu Banaswadi,2,1156,2,2,5.064855375,46
Super built-up  Area,KR Puram,3,1455,3,2,5.064975334,46
Super built-up  Area,Gaurava Nagar,3,1240,2,2,5.064975334,46
Super built-up  Area,Kanakpura Road,2,900,2,1,5.064975334,46
Super built-up  Area,Kanakpura Road,2,900,2,1,5.065131324,46
Super built-up  Area,Yelahanka,2,1150,2,2,5.065131324,46
Super built-up  Area,Haralur Road,2,1194,2,2,5.065131324,46
Super built-up  Area,Jigani,2,920,2,2,5.067134641,46
Built-up  Area,Gaundanapalya,2,1010,2,2,5.067134641,46
Super built-up  Area,HSR Layout,2,1140,2,2,5.067134641,46
Super built-up  Area,R.T. Nagar,2,1040,2,2,5.067889591,46
Super built-up  Area,Haralur Road,2,1243,2,2,5.067889591,46
Super built-up  Area,Hebbal,2,1040,2,2,5.067889591,46
Super built-up  Area,Parappana Agrahara,2,1194,2,2,5.070005756,46
Super built-up  Area,Haralur Road,2,1243,2,2,5.070005756,46
Built-up  Area,Electronics City Phase 1,2,995,2,0,5.070005756,46
Super built-up  Area,Electronic City,2,1070,2,1,5.071624125,46
Super built-up  Area,Thanisandra,2,1050,2,2,5.071624125,46
Super built-up  Area,HSR Layout,2,1140,2,2,5.071624125,46
Built-up  Area,Mariyannapalya,2,900,2,3,5.072346319,46
Super built-up  Area,Babusapalaya,2,1141,2,1,5.072346319,46
Built-up  Area,KR Puram,2,1100,2,1,5.072346319,46
Built-up  Area,Kaval Byrasandra,2,1100,2,1,5.073181886,46
Super built-up  Area,Begur Road,2,1170,2,2,5.073181886,46
Super built-up  Area,Bisuvanahalli,3,1180,2,1,5.073181886,46
Super built-up  Area,Haralur Road,2,1194,2,2,5.073308976,46
Super built-up  Area,Budigere,1,722,1,0,5.073308976,46
Built-up  Area,Chikkathoguru,2,1113,2,2,5.073308976,46
Super built-up  Area,Thanisandra,2,1200,2,2,5.073320657,46
Super built-up  Area,Dodda Nekkundi,2,1155,2,1,5.073320657,46
Super built-up  Area,Mallathahalli,2,1100,2,1,5.073320657,46
Built-up  Area,Pragathi Nagar,2,1115,2,0,5.073982252,46
Super built-up  Area,Varthur,2,1070,2,2,5.073982252,46
Super built-up  Area,Bommanahalli,2,1050,2,2,5.073982252,46
Built-up  Area,Kaggadasapura,2,1140,2,2,5.074271516,46
Super built-up  Area,HSR Layout,2,1140,2,2,5.074271516,46
Super built-up  Area,Rachenahalli,1,680,1,1,5.074271516,46
Super built-up  Area,Haralur Road,2,1243,2,2,5.076125193,46
Super built-up  Area,Haralur Road,2,1243,2,2,5.076125193,46
Super built-up  Area,Haralur Road,2,1243,2,2,5.076125193,46
Super built-up  Area,Dasappa Layout,2,920,2,1,5.07662467,46
Super built-up  Area,Haralur Road,2,1243,2,2,5.07662467,46
Super built-up  Area,Manayata Tech Park,2,1100,2,2,5.07662467,46
Super built-up  Area,Seegehalli,3,1420,2,2,5.078042652,46
Super built-up  Area,Electronics City Phase 1,2,1085,2,1,5.078042652,46
Super built-up  Area,Parappana Agrahara,2,1194,2,2,5.078042652,46
Built-up  Area,Sonnenahalli,3,1310,2,0,5.078184036,46
Super built-up  Area,Ramamurthy Nagar,2,1200,2,1,5.078184036,46
Built-up  Area,Hulimavu,2,132Sq. Yards,2,3,5.078184036,46
Super built-up  Area,Kamdhenu Nagar,2,1000,2,1,5.079006175,46
Super built-up  Area,HSR Layout,2,1140,2,2,5.079006175,46
Super built-up  Area,HSR Layout,2,1145,2,2,5.079006175,46
Super built-up  Area,Haralur Road,2,1194,2,2,5.079228835,46
Built-up  Area,Electronic City Phase II,3,1150,3,3,5.079228835,46
Super built-up  Area,NGR Layout,2,1020,2,1,5.079228835,46
Super built-up  Area,Haralur Road,2,1243,2,2,5.079456904,46
Super built-up  Area,Horamavu Agara,2,1000,2,1,5.079456904,46
Super built-up  Area,Haralur Road,2,1243,2,2,5.079456904,46
Super built-up  Area,Haralur Road,2,1194,2,2,5.079485076,46
Super built-up  Area,Coconut Grove Layout,2,1156,2,2,5.079485076,46
Super built-up  Area,Haralur Road,2,1243,2,2,5.079485076,46
Super built-up  Area,Haralur Road,2,1194,2,2,5.082516102,46
Super built-up  Area,HSR Layout,2,1145,2,2,5.082516102,46
Super built-up  Area,Gubbalala,2,1060,2,1,5.082516102,46
Super built-up  Area,Haralur Road,2,1243,2,1,5.08336073,46
Super built-up  Area,Haralur Road,2,1243,2,2,5.08336073,46
Super built-up  Area,Haralur Road,2,1243,2,2,5.08336073,46
Super built-up  Area,HSR Layout,2,1140,2,2,5.083722418,46
Super built-up  Area,Haralur Road,2,1243,2,2,5.083722418,46
Super built-up  Area,Jalahalli,1,615,1,1,5.083722418,46
Super built-up  Area,Electronic City,1,630,1,1,5.083861036,46
Super built-up  Area,Ramagondanahalli,2,1251,2,1,5.083861036,46
Super built-up  Area,Haralur Road,2,1200,2,2,5.083861036,46
Super built-up  Area,Uttarahalli,2,1150,2,1,5.084714868,46
Super built-up  Area,HSR Layout,2,1140,2,2,5.084714868,46
Super built-up  Area,Jalahalli,1,615,1,1,5.084714868,46
Super built-up  Area,Thanisandra,1,663,1,1,5.085558366,46
Super built-up  Area,HSR Layout,2,1145,2,2,5.085558366,46
Super built-up  Area,Thanisandra,2,1220,2,2,5.085558366,46
Built-up  Area,CV Raman Nagar,2,1125,2,1,5.08647949,46
Super built-up  Area,Somasundara Palya,2,1140,2,2,5.08647949,46
Built-up  Area,HSR Layout,2,1145,2,2,5.08647949,46
Super built-up  Area,Ramagondanahalli,2,1151,2,2,5.087438797,46
Built-up  Area,Sahakara Nagar,2,1200,2,0,5.087438797,46
Super built-up  Area,Haralur Road,2,1243,2,2,5.087438797,46
Super built-up  Area,Haralur Road,2,1243,2,2,5.087521122,46
Built-up  Area,Electronics City Phase 1,2,1080,2,2,5.087521122,46
Built-up  Area,Kudlu,2,1110,2,1,5.087521122,46
Super built-up  Area,AGS Layout,2,1150,2,1,5.089792276,46
Super built-up  Area,HSR Layout,2,1140,2,2,5.089792276,46
Super built-up  Area,Venkatapura,3,1300,3,2,5.089792276,46
Super built-up  Area,NGR Layout,2,1021,2,2,5.092064142,46
Super built-up  Area,Electronic City Phase II,2,1135,2,2,5.092064142,46
Super built-up  Area,Parappana Agrahara,2,1194,2,2,5.092064142,46
Super built-up  Area,Haralur Road,2,1243,2,2,5.092458963,46
Super built-up  Area,Parappana Agrahara,2,1194,2,2,5.092458963,46
Super built-up  Area,Parappana Agrahara,2,1194,2,2,5.092458963,46
Built-up  Area,Choodasandra,2,1065,2,1,5.093114005,46
Super built-up  Area,BTM 2nd Stage,2,930,2,2,5.093114005,46
Super built-up  Area,Haralur Road,2,1194,2,2,5.093114005,46
Super built-up  Area,Horamavu Agara,2,1090,2,1,5.093794033,46
Super built-up  Area,Chikkabanavar,3,1320,2,2,5.093794033,46
Super built-up  Area,Chellikere,2,1088,2,2,5.093794033,46
Super built-up  Area,Haralur Road,2,1200,2,2,5.094476307,46
Super built-up  Area,Haralur Road,2,1243,2,2,5.094476307,46
Super built-up  Area,Mariyannapalya,2,1125,2,2,5.094476307,46
Super built-up  Area,HSR Layout,2,1140,2,2,5.094685269,46
Super built-up  Area,Malleshpalya,2,1200,2,2,5.094685269,46
Super built-up  Area,Binny Pete,1,665,1,1,5.094685269,46.08
Super built-up  Area,Ramagondanahalli,2,1215,2,1,5.095804701,46.1
Super built-up  Area,Thanisandra,1,663,1,0,5.095804701,46.1
Plot  Area,Whitefield,2,1200,2,1,5.095804701,46.13
Plot  Area,Whitefield,2,1200,2,2,5.096643486,46.13
Plot  Area,Whitefield,2,1200,2,1,5.096643486,46.13
Plot  Area,Whitefield,2,1200,2,1,5.096643486,46.13
Plot  Area,Channasandra,2,1200,2,1,5.097762701,46.13
Plot  Area,Prasanth Extension,2,1200,3,1,5.097762701,46.14
Built-up  Area,Yelenahalli,2,1200,2,2,5.097762701,46.17
Built-up  Area,Yelenahalli,2,1200,2,,5.097871244,46.17
Super built-up  Area,Nagarbhavi,2,1100,2,2,5.097871244,46.2
Built-up  Area,Hosakerehalli,2,925,2,1,5.097871244,46.25
Super built-up  Area,Avalahalli,2,1053,2,1,5.098064741,46.29
Super built-up  Area,Whitefield,3,1452,2,2,5.098064741,46.29
Super built-up  Area,Kanakpura Road,2,900,2,1,5.098064741,46.29
Super built-up  Area,Abbigere,2,1130,2,1,5.098117276,46.33
Super built-up  Area,Hoodi,2,1105,2,2,5.098117276,46.37
Super built-up  Area,Kudlu Gate,3,1364,2,3,5.098117276,46.38
Super built-up  Area,Poorna Pragna Layout,2,1160,2,1,5.09845805,46.39
Super built-up  Area,Kanakapura,2,1160,2,1,5.09845805,46.39
Super built-up  Area,Poorna Pragna Layout,2,1160,2,2,5.09845805,46.39
Super built-up  Area,Poorna Pragna Layout,2,1160,2,1,5.098958554,46.39
Super built-up  Area,Whitefield,3,1451,2,2,5.098958554,46.4
Super built-up  Area,Alfa Garden Layout,2,1190,2,2,5.098958554,46.41
Super built-up  Area,Uttarahalli,3,1330,2,2,5.099157668,46.45
Super built-up  Area,Horamavu Agara,3,1453,2,1,5.099157668,46.48
Super built-up  Area,Malleshpalya,2,1140,2,2,5.099157668,46.5
Super built-up  Area,Magadi Road,2,884 - 1116,2,0,5.100682906,46.5
Super built-up  Area,Munnekollal,2,950,2,1,5.100682906,46.5
Super built-up  Area,Roopena Agrahara,3,1215,2,2,5.100682906,46.5
Super built-up  Area,Rajiv Nagar,2,1030,2,2,5.100690298,46.5
Built-up  Area,Hosakerehalli,2,925,2,1,5.100690298,46.5
Built-up  Area,Dodda Nekkundi,2,1145,2,1,5.100690298,46.5
Super built-up  Area,BTM Layout,2,1020,2,1,5.1016138,46.5
Super built-up  Area,Rachenahalli,2,1200,2,2,5.1016138,46.5
Super built-up  Area,KR Puram,2,1085,2,1,5.1016138,46.5
Super built-up  Area,Whitefield,2,1100,2,1,5.102177023,46.5
Super built-up  Area,Hennur Road,2,1030,2,1,5.102177023,46.5
Super built-up  Area,Thanisandra,2,1110,2,2,5.102177023,46.5
Super built-up  Area,KR Puram,2,1225,2,1,5.103683065,46.55
Super built-up  Area,Uttarahalli,3,1330,2,2,5.103683065,46.55
Super built-up  Area,Uttarahalli,3,1330,2,2,5.103683065,46.55
Super built-up  Area,Uttarahalli,3,1330,2,2,5.105172149,46.55
Super built-up  Area,Uttarahalli,3,1330,2,2,5.105172149,46.55
Super built-up  Area,TC Palaya,3,1330,3,3,5.105172149,46.56
Super built-up  Area,Thanisandra,2,1265,2,2,5.105381084,46.6
Super built-up  Area,Begur Road,2,1260,2,2,5.105381084,46.62
Super built-up  Area,Marathahalli,2,950,2,2,5.105381084,46.7
Super built-up  Area,Basavanapura,3,1612,3,3,5.105885882,46.74
Super built-up  Area,Dodda Nekkundi,2,1100,2,1,5.105885882,46.75
Super built-up  Area,Chikkalasandra,2,1075,2,1,5.105885882,46.76
Super built-up  Area,Uttarahalli,2,1075,2,1,5.10693512,46.76
Super built-up  Area,Uttarahalli,2,1075,2,1,5.10693512,46.76
Super built-up  Area,Banashankari,2,1170,2,2,5.10693512,46.79
Super built-up  Area,AGS Layout,2,1040,2,1,5.108147652,46.79
Super built-up  Area,Bellandur,2,1170,2,1,5.108147652,46.79
Super built-up  Area,Begur Road,2,1200,2,2,5.108147652,46.8
Super built-up  Area,Ramagondanahalli,2,1235,2,1,5.109617927,46.8
Plot  Area,Devanahalli,,1500 - 2400,,,5.109617927,46.8
Super built-up  Area,Ramamurthy Nagar,2,1170,2,2,5.109617927,46.8
Super built-up  Area,Doctors Layout,3,1215,2,2,5.109799344,46.8
Super built-up  Area,Malleshpalya,2,1225,2,2,5.109799344,46.86
Super built-up  Area,Marathahalli,2,957,2,1,5.109799344,46.9
Super built-up  Area,Horamavu Banaswadi,2,1156,2,2,5.112168913,46.9
Super built-up  Area,Sarjapur  Road,1,835,1,1,5.112168913,46.95
Super built-up  Area,Marathahalli,2,950,2,1,5.112168913,46.96
Super built-up  Area,Electronic City,3,1025,2,1,5.112366999,47
Carpet  Area,Maruthi Sevanagar,2,950,2,2,5.112366999,47
Super built-up  Area,Ramagondanahalli,2,1251,2,1,5.112366999,47
Super built-up  Area,Haralur Road,2,1194,2,2,5.114133097,47
Super built-up  Area,Sarjapur,2,1185,2,2,5.114133097,47
Super built-up  Area,Uttarahalli,2,1175,2,2,5.114133097,47
Super built-up  Area,Haralur Road,2,1194,2,2,5.114685293,47
Super built-up  Area,KR Puram,2,1100,2,1,5.114685293,47
Super built-up  Area,Nagondanahalli,2,1178,2,3,5.114685293,47
Super built-up  Area,Parappana Agrahara,2,1194,2,2,5.115125472,47
Built-up  Area,Jigani,2,914,2,2,5.115125472,47
Super built-up  Area,CV Raman Nagar,2,1230,3,2,5.115125472,47
Super built-up  Area,Uttarahalli,3,1330,2,1,5.116175663,47
Super built-up  Area,Electronic City,1,630,1,1,5.116175663,47
Super built-up  Area,Haralur Road,2,1194,2,2,5.116175663,47
Super built-up  Area,Bisuvanahalli,3,1075,2,1,5.11652218,47
Super built-up  Area,Vibhutipura Extension,2,1225,2,2,5.11652218,47
Super built-up  Area,Parappana Agrahara,2,1194,2,2,5.11652218,47
Super built-up  Area,Hebbal,2,1100,2,2,5.1179932,47
Super built-up  Area,Uttarahalli,2,1175,2,1,5.1179932,47
Super built-up  Area,Uttarahalli,2,1175,2,1,5.1179932,47
Super built-up  Area,Marathahalli,2,957,2,1,5.118108905,47
Super built-up  Area,Roopena Agrahara,3,1300,3,2,5.118108905,47
Super built-up  Area,Parappana Agrahara,2,1194,2,2,5.118108905,47
Super built-up  Area,Kanakapura,2,945,2,1,5.118864117,47
Super built-up  Area,Kaggalipura,2,950,2,1,5.118864117,47
Super built-up  Area,Vignana Nagar,2,1100,2,2,5.118864117,47
Super built-up  Area,Uttarahalli,3,1345,2,1,5.119668858,47
Super built-up  Area,Kattigenahalli,2,1062,2,2,5.119668858,47
Super built-up  Area,Uttarahalli,2,1125,2,1,5.119668858,47
Super built-up  Area,Uttarahalli,3,1300,2,1,5.119941049,47
Super built-up  Area,Konanakunte Cross,2,1165,2,2,5.119941049,47
Super built-up  Area,GM Palaya,2,1225,2,2,5.119941049,47
Super built-up  Area,Whitefield,2,1235,2,2,5.121333052,47
Super built-up  Area,KR Puram,2,1200,2,3,5.121333052,47
Super built-up  Area,Electronic City,1,630,1,1,5.121333052,47
Super built-up  Area,Gottigere,3,1425,2,2,5.121560597,47
Super built-up  Area,Udaya Nagar,2,1225,2,2,5.121560597,47
Super built-up  Area,Electronic City,2,1070,2,1,5.121560597,47
Super built-up  Area,Ramamurthy Nagar,2,1125,2,1,5.122002568,47
Super built-up  Area,Thubarahalli,2,1200,2,2,5.122002568,47
Super built-up  Area,Parappana Agrahara,2,1194,2,2,5.122002568,47
Super built-up  Area,Haralur Road,2,1194,2,2,5.122697838,47
Super built-up  Area,Electronic City,2,1175,2,1,5.122697838,47
Super built-up  Area,Haralur Road,2,1194,2,2,5.122697838,47
Super built-up  Area,Vasanthapura,2,1050,2,2,5.124179449,47
Super built-up  Area,Horamavu Banaswadi,2,1254,2,2,5.124179449,47
Super built-up  Area,Battarahalli,1,600,1,0,5.124179449,47
Super built-up  Area,Hennur Road,2,1020,2,3,5.1243934,47
Super built-up  Area,Varthur,2,1250,2,2,5.1243934,47
Super built-up  Area,Electronic City Phase II,3,1192,2,3,5.1243934,47
Super built-up  Area,Haralur Road,2,1194,2,2,5.125019477,47
Super built-up  Area,7th Phase JP Nagar,2,1174,2,1,5.125019477,47
Super built-up  Area,Marathahalli,2,957,2,1,5.125019477,47
Super built-up  Area,Parappana Agrahara,2,1194,2,2,5.126392437,47
Super built-up  Area,Uttarahalli,2,1125,2,1,5.126392437,47
Super built-up  Area,Vimanapura,2,1275,2,2,5.126392437,47
Super built-up  Area,Bisuvanahalli,3,1075,2,1,5.127415452,47
Super built-up  Area,Uttarahalli,2,1175,2,2,5.127415452,47
Super built-up  Area,Doctors Layout,2,1225,2,1,5.127415452,47
Super built-up  Area,Haralur Road,2,1194,2,2,5.127825655,47
Super built-up  Area,Gollahalli,3,1325,2,1,5.127825655,47
Built-up  Area,Kaggadasapura,3,1250,2,2,5.127825655,47
Super built-up  Area,Haralur Road,2,1194,2,2,5.127972307,47
Plot  Area,Madavara,4,612,3,0,5.127972307,47
Super built-up  Area,Uttarahalli,2,1125,2,1,5.127972307,47
Built-up  Area, Devarachikkanahalli,2,1116,2,1,5.128212246,47
Super built-up  Area,Volagerekallahalli,2,1205,2,1,5.128212246,47
Super built-up  Area,Bannerghatta Road,2,1154,2,2,5.128212246,47
Super built-up  Area,Bellandur,2,1251,2,3,5.128553727,47
Super built-up  Area,7th Phase JP Nagar,1,750,1,2,5.128553727,47
Super built-up  Area,Parappana Agrahara,2,1194,2,2,5.128553727,47
Super built-up  Area,Parappana Agrahara,2,1194,2,2,5.13081313,47
Super built-up  Area,BTM 2nd Stage,2,1100,2,2,5.13081313,47
Super built-up  Area,Uttarahalli,2,1125,2,1,5.13081313,47
Super built-up  Area,Manayata Tech Park,2,1150,2,2,5.131804628,47
Super built-up  Area,Sompura,3,1350,2,2,5.131804628,47
Super built-up  Area,LB Shastri Nagar,2,1200,2,1,5.131804628,47
Super built-up  Area,Duddanahalli,3,1340,2,2,5.132972758,47
Super built-up  Area,Sarjapur  Road,2,1035,2,1,5.132972758,47
Super built-up  Area,Horamavu Agara,2,1058,2,2,5.132972758,47
Super built-up  Area,Bellandur,2,1262,2,2,5.133139188,47
Super built-up  Area,Begur,3,1445,2,2,5.133139188,47.1
Super built-up  Area,Yelenahalli,2,1240,2,2,5.133139188,47.12
Super built-up  Area,Uttarahalli,3,1350,2,3,5.133480582,47.24
Super built-up  Area,Uttarahalli,3,1350,2,2,5.133480582,47.24
Super built-up  Area,Uttarahalli,3,1350,2,2,5.133480582,47.24
Super built-up  Area,Old Madras Road,3,1350,3,2,5.134472646,47.25
Super built-up  Area,Rachenahalli,2,1050,2,2,5.134472646,47.25
Super built-up  Area,2nd Phase Judicial Layout,3,1350,2,2,5.134472646,47.25
Super built-up  Area,Old Madras Road,3,1350,3,1,5.135510991,47.25
Super built-up  Area,2nd Phase Judicial Layout,3,1350,2,2,5.135510991,47.25
Super built-up  Area,Old Madras Road,3,1350,3,2,5.135510991,47.25
